side,kind,name,slug,problem
male,model-poster,HUBLOT,hublot-classic-fusion,no poster for brand 'Hublot' - the card will use photo 01
male,model-poster,HUBLOT 2,hublot-classic-fusion-ii,no poster for brand 'Hublot' - the card will use photo 01
female,model-poster,CARTIER B.B,cartier-ballon-bleu,no poster for brand 'Cartier' - the card will use photo 01
female,model-poster,Cartier baignoire,cartier-baignoire,no poster for brand 'Cartier' - the card will use photo 01
female,model-poster,Cartier Panthère,cartier-panthere,no poster for brand 'Cartier' - the card will use photo 01
female,model-poster,Cartier Panthère Classic Square,cartier-panthere-classic-square,no poster for brand 'Cartier' - the card will use photo 01
female,model-poster,CARTIER PONTER ,cartier-panthere-classic,no poster for brand 'Cartier' - the card will use photo 01
female,model-poster,Casio Couple Carré Bleu,casio-couple-carre-bleu,no poster for brand 'Casio' - the card will use photo 01
